x	y	z	RUNX1 regulates transcription of genes involved in differentiation of HSCs
231	264	31	1
234	264	31	2
237	264	31	1
239	264	31	1
244	264	31	1
245	264	31	1
184	265	31	1
185	265	31	1
194	265	31	1
196	265	31	2
200	265	31	1
205	265	31	1
213	265	31	2
214	265	31	1
222	265	31	1
229	265	31	1
248	265	31	1
191	266	31	2
193	266	31	2
194	266	31	1
197	266	31	1
212	266	31	1
221	266	31	1
241	266	31	1
244	266	31	1
246	266	31	2
247	266	31	2
248	266	31	1
251	266	31	1
176	267	31	1
183	267	31	1
195	267	31	1
197	267	31	2
199	267	31	1
211	267	31	1
227	267	31	1
233	267	31	1
237	267	31	1
241	267	31	1
242	267	31	1
244	267	31	1
246	267	31	3
183	268	31	1
193	268	31	2
203	268	31	1
205	268	31	1
215	268	31	2
218	268	31	1
220	268	31	1
224	268	31	1
225	268	31	1
232	268	31	1
238	268	31	1
240	268	31	2
242	268	31	1
182	269	31	1
183	269	31	1
188	269	31	1
191	269	31	1
193	269	31	1
198	269	31	1
199	269	31	2
210	269	31	1
215	269	31	1
230	269	31	1
231	269	31	2
234	269	31	2
238	269	31	1
242	269	31	2
243	269	31	1
246	269	31	1
247	269	31	2
250	269	31	2
252	269	31	1
173	270	31	1
178	270	31	2
180	270	31	2
181	270	31	1
183	270	31	1
185	270	31	2
194	270	31	2
196	270	31	1
198	270	31	2
200	270	31	2
201	270	31	1
237	270	31	1
247	270	31	2
249	270	31	2
250	270	31	1
171	271	31	1
175	271	31	2
176	271	31	1
178	271	31	1
184	271	31	1
209	271	31	1
213	271	31	1
214	271	31	1
215	271	31	1
216	271	31	1
217	271	31	1
226	271	31	1
231	271	31	1
233	271	31	1
238	271	31	1
240	271	31	1
241	271	31	1
246	271	31	2
251	271	31	1
182	272	31	1
183	272	31	1
184	272	31	1
199	272	31	1
203	272	31	2
205	272	31	1
212	272	31	2
216	272	31	1
232	272	31	1
240	272	31	3
241	272	31	1
243	272	31	1
250	272	31	1
254	272	31	1
181	273	31	1
183	273	31	1
209	273	31	2
210	273	31	1
211	273	31	1
214	273	31	3
236	273	31	1
244	273	31	1
246	273	31	1
180	274	31	1
203	274	31	1
211	274	31	1
213	274	31	2
225	274	31	1
226	274	31	1
229	274	31	1
233	274	31	1
236	274	31	2
237	274	31	1
241	274	31	2
243	274	31	1
244	274	31	1
252	274	31	2
182	275	31	1
229	275	31	1
231	275	31	1
235	275	31	1
239	275	31	1
241	275	31	1
244	275	31	1
250	275	31	3
198	276	31	2
205	276	31	1
226	276	31	1
238	276	31	1
240	276	31	1
243	276	31	1
246	276	31	1
174	277	31	1
204	277	31	1
238	277	31	1
240	277	31	1
241	277	31	1
245	277	31	1
249	277	31	1
180	278	31	1
204	278	31	1
205	278	31	1
207	278	31	1
242	278	31	1
243	278	31	1
246	278	31	2
178	279	31	2
236	279	31	1
238	279	31	1
242	279	31	1
245	279	31	2
247	279	31	2
175	280	31	1
235	280	31	1
236	280	31	1
237	280	31	1
245	280	31	1
249	280	31	1
176	281	31	1
179	281	31	1
184	281	31	2
204	281	31	2
210	281	31	2
220	281	31	3
228	281	31	1
231	281	31	1
236	281	31	1
241	281	31	1
243	281	31	1
244	281	31	1
173	282	31	1
175	282	31	1
219	282	31	1
221	282	31	1
223	282	31	2
225	282	31	2
231	282	31	1
232	282	31	1
233	282	31	1
234	282	31	1
239	282	31	1
246	282	31	1
248	282	31	1
249	282	31	1
254	282	31	2
181	283	31	1
182	283	31	1
208	283	31	1
228	283	31	1
230	283	31	1
233	283	31	2
234	283	31	2
240	283	31	1
251	283	31	1
175	284	31	1
180	284	31	1
182	284	31	1
236	284	31	1
237	284	31	2
238	284	31	1
239	284	31	1
241	284	31	2
243	284	31	2
244	284	31	1
250	284	31	2
173	285	31	2
177	285	31	1
178	285	31	1
179	285	31	2
218	285	31	1
219	285	31	1
226	285	31	1
234	285	31	1
235	285	31	1
243	285	31	1
248	285	31	1
250	285	31	1
252	285	31	1
253	285	31	1
256	285	31	1
178	286	31	1
219	286	31	1
220	286	31	2
222	286	31	1
224	286	31	1
227	286	31	1
231	286	31	1
237	286	31	1
238	286	31	1
244	286	31	1
246	286	31	1
249	286	31	1
187	287	31	1
190	287	31	1
219	287	31	1
220	287	31	2
223	287	31	3
227	287	31	1
230	287	31	1
231	287	31	1
234	287	31	1
237	287	31	1
239	287	31	1
240	287	31	1
251	287	31	2
253	287	31	1
255	287	31	1
256	287	31	2
186	288	31	2
220	288	31	1
221	288	31	1
222	288	31	1
223	288	31	1
226	288	31	1
233	288	31	1
234	288	31	1
236	288	31	2
241	288	31	1
242	288	31	1
247	288	31	2
249	288	31	1
253	288	31	1
200	289	31	1
221	289	31	3
222	289	31	1
225	289	31	1
226	289	31	1
227	289	31	1
231	289	31	1
232	289	31	1
234	289	31	1
242	289	31	1
243	289	31	1
244	289	31	1
245	289	31	1
250	289	31	1
254	289	31	1
225	290	31	1
226	290	31	2
230	290	31	1
234	290	31	2
235	290	31	1
240	290	31	1
243	290	31	1
246	290	31	2
247	290	31	2
250	290	31	1
197	291	31	1
198	291	31	2
222	291	31	1
227	291	31	1
228	291	31	2
229	291	31	1
230	291	31	1
235	291	31	1
237	291	31	2
238	291	31	1
240	291	31	1
242	291	31	2
245	291	31	1
254	291	31	1
197	292	31	1
199	292	31	1
221	292	31	1
222	292	31	1
227	292	31	1
238	292	31	1
242	292	31	3
243	292	31	1
247	292	31	1
256	292	31	1
257	292	31	1
198	293	31	1
228	293	31	2
231	293	31	1
237	293	31	1
239	293	31	1
246	293	31	1
247	293	31	3
256	293	31	2
198	294	31	1
221	294	31	1
226	294	31	3
230	294	31	2
233	294	31	1
240	294	31	1
241	294	31	2
243	294	31	2
244	294	31	3
250	294	31	1
251	294	31	1
253	294	31	1
233	295	31	1
240	295	31	2
241	295	31	1
242	295	31	2
243	295	31	1
247	295	31	1
248	295	31	2
250	295	31	3
252	295	31	1
257	295	31	2
199	296	31	1
215	296	31	1
222	296	31	1
223	296	31	1
225	296	31	1
228	296	31	1
229	296	31	1
231	296	31	1
240	296	31	2
245	296	31	1
246	296	31	1
250	296	31	2
254	296	31	1
223	297	31	1
224	297	31	1
230	297	31	1
231	297	31	2
235	297	31	1
241	297	31	1
246	297	31	2
248	297	31	1
196	298	31	2
205	298	31	1
232	298	31	2
238	298	31	1
242	298	31	1
248	298	31	1
224	299	31	1
237	299	31	2
243	299	31	3
245	299	31	1
248	299	31	1
218	300	31	1
223	300	31	1
225	300	31	4
227	300	31	1
230	300	31	1
232	300	31	2
236	300	31	1
241	300	31	1
246	300	31	1
247	300	31	1
248	300	31	1
250	300	31	1
225	301	31	2
226	301	31	1
233	301	31	3
234	301	31	1
236	301	31	3
237	301	31	2
245	301	31	2
246	301	31	2
247	301	31	1
248	301	31	1
222	302	31	1
223	302	31	1
224	302	31	1
231	302	31	1
235	302	31	2
242	302	31	1
243	302	31	1
244	302	31	1
245	302	31	1
246	302	31	1
247	302	31	1
231	303	31	1
237	303	31	2
242	303	31	1
244	303	31	1
245	303	31	1
247	303	31	1
243	304	31	1
223	305	31	2
225	305	31	3
234	305	31	1
238	305	31	2
231	306	31	1
224	307	31	1
237	307	31	1
223	308	31	1
225	308	31	1
215	251	32	1
226	251	32	1
227	251	32	1
229	251	32	1
214	252	32	1
217	252	32	1
227	252	32	1
231	252	32	1
235	252	32	2
193	253	32	1
224	253	32	2
225	253	32	1
229	253	32	2
231	253	32	2
223	254	32	1
225	254	32	2
228	254	32	1
235	254	32	2
236	254	32	1
238	254	32	2
217	255	32	3
223	255	32	1
224	255	32	1
226	255	32	1
227	255	32	1
228	255	32	2
230	255	32	1
232	255	32	2
234	255	32	1
235	255	32	1
240	255	32	1
215	256	32	1
216	256	32	1
227	256	32	1
232	256	32	1
236	256	32	1
240	256	32	3
193	257	32	1
203	257	32	1
208	257	32	1
209	257	32	1
218	257	32	3
219	257	32	2
230	257	32	1
232	257	32	1
240	257	32	2
192	258	32	3
207	258	32	2
214	258	32	1
218	258	32	2
228	258	32	1
232	258	32	1
235	258	32	1
237	258	32	1
239	258	32	1
240	258	32	1
193	259	32	1
201	259	32	2
207	259	32	1
209	259	32	1
215	259	32	1
219	259	32	1
220	259	32	1
227	259	32	2
228	259	32	1
231	259	32	1
237	259	32	1
240	259	32	1
242	259	32	1
244	259	32	1
192	260	32	1
210	260	32	1
211	260	32	1
230	260	32	1
234	260	32	1
235	260	32	2
236	260	32	1
237	260	32	2
238	260	32	1
244	260	32	1
245	260	32	1
194	261	32	1
195	261	32	1
210	261	32	1
215	261	32	1
219	261	32	2
229	261	32	2
239	261	32	2
197	262	32	1
198	262	32	1
209	262	32	1
215.5	262.5	32.5	2
217	262	32	1
228	262	32	1
231	262	32	1
233	262	32	1
235	262	32	1
238	262	32	1
246	262	32	1
248	262	32	1
249	262	32	1
189	263	32	1
194	263	32	2
200	263	32	1
215	263	32	1
216	263	32	1
222	263	32	1
224	263	32	1
225	263	32	1
226	263	32	2
227	263	32	1
231	263	32	1
233	263	32	3
237	263	32	1
243	263	32	1
245	263	32	2
247	263	32	2
251	263	32	1
191	264	32	2
192	264	32	2
210	264	32	1
212	264	32	1
214	264	32	2
215	264	32	1
217	264	32	1
227	264	32	2
228	264	32	1
231	264	32	1
232	264	32	2
240	264	32	1
244	264	32	2
247	264	32	1
250	264	32	2
176	265	32	1
191	265	32	1
192	265	32	1
193	265	32	1
195	265	32	1
204	265	32	1
212	265	32	1
213	265	32	1
216	265	32	1
220	265	32	1
224	265	32	1
229	265	32	1
232	265	32	2
233	265	32	1
234	265	32	1
235	265	32	2
239	265	32	1
243	265	32	1
203	266	32	1
218	266	32	2
220	266	32	2
224	266	32	1
228	266	32	1
229	266	32	1
241	266	32	1
243	266	32	1
245	266	32	4
247	266	32	2
248	266	32	1
249	266	32	1
251	266	32	1
183	267	32	1
186	267	32	1
188	267	32	1
194	267	32	3
196	267	32	1
208	267	32	2
209	267	32	1
211	267	32	2
216	267	32	1
219	267	32	1
221	267	32	1
225	267	32	1
231	267	32	2
237	267	32	1
238	267	32	2
239	267	32	1
240	267	32	1
248	267	32	2
249	267	32	1
252	267	32	1
186	268	32	1
189	268	32	1
194	268	32	1
198	268	32	1
213	268	32	4
214	268	32	1
224	268	32	1
241	268	32	1
243	268	32	1
245	268	32	1
246	268	32	1
248	268	32	1
252	268	32	1
253	268	32	1
176	269	32	1
177	269	32	1
180	269	32	2
181	269	32	2
182	269	32	1
184	269	32	1
191	269	32	1
193	269	32	3
209	269	32	1
210	269	32	1
211	269	32	1
214	269	32	1
222	269	32	3
223	269	32	2
233	269	32	1
238	269	32	1
240	269	32	1
244	269	32	2
245	269	32	1
246	269	32	1
250	269	32	2
174	270	32	3
180	270	32	1
185	270	32	1
187	270	32	1
201	270	32	1
203	270	32	1
210	270	32	4
212	270	32	1
216	270	32	3
241	270	32	1
243	270	32	1
249	270	32	1
174	271	32	2
176	271	32	2
177	271	32	1
184	271	32	1
186	271	32	2
188	271	32	1
202	271	32	2
207	271	32	1
210	271	32	4
211	271	32	1
212	271	32	3
213	271	32	1
216	271	32	1
227	271	32	1
228	271	32	1
231	271	32	2
239	271	32	3
240	271	32	1
249	271	32	2
250	271	32	1
176	272	32	1
181	272	32	3
184	272	32	1
198	272	32	1
205	272	32	2
216	272	32	2
225	272	32	1
234	272	32	1
238	272	32	2
243	272	32	1
181	273	32	1
182	273	32	1
183	273	32	1
185	273	32	1
201	273	32	1
207	273	32	1
211	273	32	1
213	273	32	1
229	273	32	2
238	273	32	1
239	273	32	1
241	273	32	2
242	273	32	2
246	273	32	1
249	273	32	1
174	274	32	2
179	274	32	1
185	274	32	2
202	274	32	1
207	274	32	1
210	274	32	1
211	274	32	1
234	274	32	2
240	274	32	1
241	274	32	2
244	274	32	1
252	274	32	2
186	275	32	2
203	275	32	1
208	275	32	2
211	275	32	2
212	275	32	2
226	275	32	2
235	275	32	1
238	275	32	2
175	276	32	3
184	276	32	2
205	276	32	3
206	276	32	2
210	276	32	1
239	276	32	2
242	276	32	1
243	276	32	1
175	277	32	1
176	277	32	2
214	277	32	1
215	277	32	1
224	277	32	1
232	277	32	1
236	277	32	1
238	277	32	1
241	277	32	4
247	277	32	1
248	277	32	2
175	278	32	1
176	278	32	1
177	278	32	1
184	278	32	2
204	278	32	2
206	278	32	2
224	278	32	2
237	278	32	1
241	278	32	1
178	279	32	1
179	279	32	2
181	279	32	1
207	279	32	1
214	279	32	3
223	279	32	1
234	279	32	2
237	279	32	2
242	279	32	1
243	279	32	2
246	279	32	1
250	279	32	1
175	280	32	2
217	280	32	1
223	280	32	1
229	280	32	1
237	280	32	1
238	280	32	1
245	280	32	1
246	280	32	1
249	280	32	1
186	281	32	1
220	281	32	1
221	281	32	1
223	281	32	1
231	281	32	1
232	281	32	2
243	281	32	1
244	281	32	1
173	282	32	1
174	282	32	2
175	282	32	1
178	282	32	1
188	282	32	1
204	282	32	1
218	282	32	1
223	282	32	1
226	282	32	2
241	282	32	1
242	282	32	1
244	282	32	1
246	282	32	1
248	282	32	1
249	282	32	1
254	282	32	2
173	283	32	1
175	283	32	3
179	283	32	1
181	283	32	1
211	283	32	3
223	283	32	1
224	283	32	2
238	283	32	1
242	283	32	1
245	283	32	1
246	283	32	1
248	283	32	1
251	283	32	2
181	284	32	1
208	284	32	1
209	284	32	1
220	284	32	2
230	284	32	1
233	284	32	2
245	284	32	2
247	284	32	1
248	284	32	1
251	284	32	1
257	284	32	1
182	285	32	1
204	285	32	1
205	285	32	1
206	285	32	1
215	285	32	1
229	285	32	1
234	285	32	1
238	285	32	2
241	285	32	2
244	285	32	1
246	285	32	1
249	285	32	2
252	285	32	1
253	285	32	1
174	286	32	1
204	286	32	2
222	286	32	2
224	286	32	1
226	286	32	1
227	286	32	1
229	286	32	1
231	286	32	1
234	286	32	1
237	286	32	1
243	286	32	1
247	286	32	1
248	286	32	2
252	286	32	1
254	286	32	1
187	287	32	2
208	287	32	1
221	287	32	1
223	287	32	1
230	287	32	2
234	287	32	2
236.5	287.5	32.5	2
237	287	32	1
238	287	32	1
244	287	32	1
245	287	32	1
250	287	32	1
254	287	32	1
201	288	32	1
202	288	32	1
220	288	32	1
221	288	32	1
222	288	32	1
223	288	32	2
225	288	32	1
232	288	32	2
234	288	32	1
240	288	32	1
246	288	32	1
248	288	32	1
250	288	32	1
253	288	32	3
258	288	32	1
201	289	32	1
222	289	32	1
224	289	32	1
226	289	32	2
230	289	32	1
231	289	32	3
233	289	32	1
238	289	32	1
239	289	32	1
243	289	32	1
244	289	32	1
187	290	32	2
200	290	32	3
206	290	32	2
232	290	32	2
233	290	32	2
241	290	32	1
243	290	32	1
244	290	32	1
245	290	32	3
247	290	32	1
248	290	32	1
250	290	32	1
253	290	32	1
200	291	32	2
223	291	32	1
224	291	32	1
226	291	32	1
229	291	32	1
231	291	32	1
233.333333333333	291.333333333333	33	1
242	291	32	1
244	291	32	1
246	291	32	1
247	291	32	1
198	292	32	1
199	292	32	1
201	292	32	2
203	292	32	2
225	292	32	1
228	292	32	1
229	292	32	1
233	292	32	1
238	292	32	1
243	292	32	1
247	292	32	1
250	292	32	1
254	292	32	1
256	292	32	2
198	293	32	1
216	293	32	1
218	293	32	1
220	293	32	2
223	293	32	2
225	293	32	2
229	293	32	1
230	293	32	2
237	293	32	1
242	293	32	1
244	293	32	1
245	293	32	1
250	293	32	1
180	294	32	1
197	294	32	1
198	294	32	1
199	294	32	2
202	294	32	1
204	294	32	1
221	294	32	1
223	294	32	3
230	295	33	1
230	294	32	1
231	294	32	1
233	294	32	1
242	294	32	1
252	294	32	1
256	294	32	1
223	295	32	1
228	295	32	1
230	295	32	2
232	295	32	1
236	295	32	2
239	295	32	1
240	295	32	1
241	295	32	1
247	295	32	1
197	296	32	1
218	296	32	1
220	296	32	1
226	296	32	1
230	296	32	1
232	296	32	1
235	296	32	1
237	296	32	1
241	296	32	1
244	296	32	4
245	296	32	2
247	296	32	1
250	296	32	1
251	296	32	1
255	296	32	2
227	297	32	1
230	297	32	2
233	297	32	1
241	297	32	1
242	297	32	1
243	297	32	2
244	297	32	3
247	297	32	2
251	297	32	1
254	297	32	1
255	297	32	1
195	298	32	2
221	298	32	3
223	298	32	1
233	298	32	1
234	298	32	2
238	298	32	1
241	298	32	1
248	298	32	2
249	298	32	1
251	298	32	1
252	298	32	1
196	299	32	2
197	299	32	1
228	299	32	1
231	299	32	1
235	299	32	1
237	299	32	2
241	299	32	1
245	299	32	1
247	299	32	1
248	299	32	2
249	299	32	1
185	300	32	3
197	300	32	1
227	300	32	2
239	300	32	1
240	300	32	1
244	300	32	1
246	300	32	1
247	300	32	3
196	301	32	1
198	301	32	1
221	301	32	1
223	301	32	1
224	301	32	1
231	301	32	2
232	301	32	1
233	301	32	2
235	301	32	1
239	301	32	1
240	301	32	1
241	301	32	1
245	301	32	1
248	301	32	1
249	301	32	1
223	302	32	1
224	302	32	1
229	302	32	2
230	302	32	1
236	302	32	1
239	302	32	1
240	302	32	1
241	302	32	1
242	302	32	2
247	302	32	1
248	302	32	1
222	303	32	1
225	303	32	1
226	303	32	2
232	303	32	1
234	303	32	1
239	303	32	1
241	303	32	1
217	304	32	1
220	304	32	1
225	304	32	1
233	304	32	1
234	304	32	2
235	304	32	1
239	304	32	1
241	304	32	1
243	304	32	3
204	305	32	1
221	305	32	1
226	305	32	1
234	305	32	1
235	305	32	2
237	305	32	1
238	305	32	2
222	306	32	1
224	306	32	1
233	306	32	1
241	306	32	1
242	306	32	2
222	307	32	1
225	307	32	1
234	307	32	1
221	308	32	1
225	308	32	3
227	308	32	1
229	308	32	1
235	308	32	1
220	309	32	1
226	309	32	1
227	309	32	1
232	309	32	1
234	309	32	1
235	309	32	1
230	310	32	2
231	310	32	1
234	311	32	2
227	312	32	1
229	312	32	1
232	312	32	2
235	313	32	1
228	249	33	1
232	249	33	1
226	251	33	1
228	251	33	1
227	252	33	1
217	253	33	1
221	253	33	3
222	253	33	1
225	253	33	1
229	253	33	1
237	253	33	1
219	254	33	1
225	254	33	1
230	254	33	1
232	254	33	1
235	254	33	4
236	254	33	1
239	254	33	1
217	255	33	1
220	255	33	1
221	255	33	1
224	255	33	2
226	255	33	1
231	255	33	1
236	255	33	1
216	256	33	1
221	256	33	1
227	256	33	2
230	256	33	1
232	256	33	3
237	256	33	2
215	257	33	1
216	257	33	1
217	257	33	4
218	257	33	2
219	257	33	1
220	257	33	1
221	257	33	1
237	257	33	2
222	258	33	1
226	258	33	3
230	258	33	1
232	258	33	1
234	258	33	1
239	258	33	1
242	258	33	1
243	258	33	1
213	259	33	1
215	259	33	1
216	259	33	1
218	259	33	1
231	259	33	2
233	259	33	1
235	259	33	1
242	259	33	1
246	259	33	1
192	260	33	1
208	260	33	2
212	260	33	2
213	260	33	1
215	260	33	1
219	260	33	1
223	260	33	1
224	260	33	3
230	260	33	1
233	260	33	1
188	261	33	1
205	261	33	1
216	261	33	1
217.5	261.5	33.5	1
218	261	33	2
224	261	33	1
228	261	33	1
230	261	33	1
236	261	33	1
240	261	33	1
241	261	33	1
242	261	33	2
245	261	33	1
247	261	33	2
191	262	33	1
210	262	33	1
211	262	33	1
218	262	33	1
219	262	33	1
224	262	33	1
226	262	33	1
227	262	33	1
228	262	33	2
230	262	33	1
240	262	33	2
190	263	33	1
193	263	33	1
198	263	33	1
211	263	33	1
215	263	33	2
218	263	33	1
220	263	33	1
222	263	33	4
224	263	33	1
227	263	33	3
228	263	33	1
238	263	33	1
240	263	33	1
245	263	33	1
251	263	33	1
185	264	33	1
187	264	33	1
188	264	33	2
190	264	33	1
194	264	33	1
199	264	33	1
211	264	33	1
212	264	33	3
217	264	33	1
223	264	33	1
224	264	33	1
229	264	33	2
242	264	33	1
247	264	33	1
248	264	33	2
249	264	33	2
188	265	33	1
189	265	33	1
194	265	33	1
210	265	33	1
211	265	33	1
213	265	33	1
214	265	33	1
217	265	33	3
220	265	33	1
221	265	33	1
226	265	33	1
242	265	33	1
244	265	33	2
245	265	33	2
251	265	33	2
252	265	33	1
187	266	33	1
188	266	33	1
190	266	33	1
192	266	33	2
204	266	33	1
221	266	33	2
225	266	33	1
230	266	33	1
237	266	33	1
239	266	33	1
247	266	33	1
249	266	33	2
182	267	33	1
183	267	33	1
184	267	33	1
192	267	33	1
196	267	33	1
200	267	33	2
202	267	33	3
209	267	33	1
210	267	33	1
216	267	33	2
217	267	33	1
219	267	33	1
220	267	33	2
221	267	33	1
226	267	33	1
235	267	33	1
241	267	33	2
248	267	33	1
189	268	33	1
193	268	33	1
196	268	33	1
206	268	33	1
207	268	33	3
209	268	33	1
214	268	33	1
216	268	33	1
217	268	33	2
219	268	33	1
225	268	33	2
235	268	33	1
245	268	33	1
249	268	33	1
250	268	33	3
187	269	33	1
191	269	33	1
194	269	33	1
195	269	33	1
201	269	33	1
204	269	33	2
209	269	33	1
216	269	33	1
224	269	33	1
227	269	33	3
233	269	33	3
235	269	33	1
239	269	33	1
240	269	33	2
246	269	33	2
250	269	33	1
178	270	33	2
183	270	33	1
184	270	33	1
194	270	33	1
206	270	33	1
207	270	33	1
212	270	33	1
213	270	33	2
233	270	33	1
240	270	33	2
242	270	33	2
244	270	33	2
247	270	33	2
248	270	33	1
251	270	33	1
252	270	33	1
178	271	33	2
181	271	33	1
182	271	33	1
185	271	33	1
186	271	33	1
190	271	33	1
205	271	33	2
211	271	33	1
217	271	33	1
224	271	33	2
226	271	33	3
235	271	33	1
237	271	33	1
239	271	33	1
240	271	33	2
241	271	33	1
244	271	33	2
245	271	33	1
246	271	33	2
247	271	33	1
248	271	33	1
172	272	33	1
175	272	33	1
182	272	33	1
183	272	33	1
184	272	33	2
186	272	33	1
201	272	33	1
204	272	33	1
207	272	33	1
208	272	33	1
210	272	33	4
232	272	33	1
234	272	33	2
235	272	33	1
237	272	33	1
239	272	33	1
242	272	33	1
249	272	33	1
250	272	33	1
173	273	33	2
174	273	33	1
183	273	33	1
184	273	33	1
185	273	33	1
186	273	33	1
189	273	33	1
196	273	33	2
202	273	33	1
209	273	33	1
210	273	33	1
211	273	33	1
216	273	33	1
230	273	33	1
239	273	33	1
253	273	33	2
174	274	33	1
176	274	33	1
183	274	33	1
185	274	33	3
190	274	33	1
201	274	33	1
207	274	33	1
227	274	33	1
232	274	33	1
233	274	33	1
235	274	33	2
239	274	33	1
240	274	33	1
243	274	33	1
175	275	33	1
185	275	33	2
205	275	33	2
206	275	33	1
210	275	33	1
216	275	33	2
217	275	33	1
237	275	33	1
244	275	33	1
250	275	33	2
174	276	33	1
177	276	33	1
186	276	33	1
201	276	33	1
205	276	33	1
207	276	33	1
214	276	33	1
215	276	33	1
236	276	33	1
237	276	33	1
240	276	33	1
241	276	33	1
173	277	33	1
202	277	33	1
208	277	33	1
209	277	33	1
215	277	33	1
234	277	33	1
244	277	33	1
245	277	33	1
176	278	33	1
209	278	33	1
210	278	33	1
211	278	33	1
246	278	33	1
168	279	33	1
175	279	33	1
176	279	33	1
201	279	33	2
210	279	33	1
222	279	33	1
234	279	33	2
245	279	33	2
249	279	33	1
251	279	33	1
174	280	33	2
177	280	33	1
191	280	33	1
206	280	33	1
207	280	33	1
208	280	33	1
210	280	33	1
211	280	33	1
223	280	33	1
224	280	33	2
226	280	33	1
239	280	33	1
242	280	33	2
246	280	33	1
247	280	33	1
248	280	33	1
249	280	33	1
250	280	33	1
251	280	33	1
175	281	33	1
178	281	33	2
180	281	33	2
186	281	33	1
207	281	33	1
209	281	33	1
223	281	33	1
233	281	33	1
243	281	33	1
249	281	33	1
175	282	33	2
205	282	33	1
207	282	33	1
212	282	33	1
214	282	33	1
218	282	33	2
220	282	33	1
221	282	33	1
223	282	33	1
224	282	33	1
229	282	33	1
230	282	33	1
231	282	33	1
232	282	33	1
234	282	33	1
241	282	33	2
245	282	33	1
251	282	33	1
174	283	33	1
179	283	33	1
183	283	33	2
185	283	33	2
189	283	33	1
206	283	33	1
212	283	33	2
218	283	33	1
220	283	33	2
221	283	33	1
225	283	33	2
229	283	33	2
232	283	33	1
237	283	33	2
239	283	33	1
240	283	33	1
241	283	33	1
243	283	33	1
246	283	33	1
247	283	33	1
250	283	33	2
176	284	33	1
186	284	33	1
207	284	33	1
209	284	33	1
210	284	33	1
219	284	33	1
222	284	33	2
231	284	33	1
233	284	33	1
236	284	33	2
246	284	33	1
254	284	33	1
176	285	33	1
202	285	33	1
221	285	33	1
223	285	33	1
224	285	33	1
237.5	285.5	33.5	1
242	285	33	1
245	285	33	1
246	285	33	2
254	285	33	1
178	286	33	1
209	286	33	1
218	286	33	1
219	286	33	1
221	286	33	1
223	286	33	2
229	286	33	1
239	286	33	2
242	286	33	1
243	286	33	1
246	286	33	1
252	286	33	1
179	287	33	1
198	287	33	1
204	287	33	1
222	287	33	1
223	287	33	1
224	287	33	1
226	287	33	1
227	287	33	1
228	287	33	1
236	287	33	1
246	287	33	1
251	287	33	3
184	288	33	1
186	288	33	1
226	288	33	1
230	288	33	2
231	288	33	1
234	288	33	1
239	288	33	1
244	288	33	1
245	288	33	1
246	288	33	1
247	288	33	1
248	288	33	1
250	288	33	2
255	288	33	2
257	288	33	1
184	289	33	1
201	289	33	1
202	289	33	2
223	289	33	2
230	289	33	2
231	289	33	1
232	289	33	1
235	289	33	1
237	289	33	1
241.5	289.5	33.5	2
244	289	33	1
245	289	33	1
246	289	33	2
247	289	33	2
250	289	33	1
197	290	33	2
199	290	33	1
223	290	33	1
225	290	33	1
230	290	33	1
233	290	33	1
234	290	33	1
239	290	33	1
242	290	33	2
248	290	33	1
185	291	33	1
186	291	33	1
197	291	33	1
198	291	33	2
225	291	33	1
226	291	33	1
229	291	33	1
236	291	33	1
237	291	33	1
241	291	33	1
247	291	33	1
183	292	33	1
200	292	33	1
223	292	33	1
232	292	33	1
233	292	33	1
245	292	33	1
248	292	33	1
256	292	33	3
177	293	33	1
185	293	33	1
188	293	33	1
197	293	33	2
220	293	33	1
223	293	33	2
231	293	33	1
235	293	33	3
237	293	33	1
239	293	33	1
241	293	33	1
246	293	33	1
248	293	33	1
254	293	33	1
199	294	33	1
228	294	33	1
231	294	33	1
238	294	33	2
245	294	33	1
246	294	33	1
251	294	33	1
256	294	33	2
197	295	33	2
201	295	33	1
204	295	33	1
220	295	33	1
229	295	33	3
232	295	33	1
235	295	33	1
238	295	33	1
250	295	33	1
179	296	33	1
195	296	33	1
200	296	33	1
222	296	33	1
223	296	33	2
226	296	33	2
228	296	33	2
231	296	33	1
242	296	33	2
243	296	33	2
246	296	33	3
252	296	33	2
255	296	33	1
196	297	33	1
223	297	33	1
224	297	33	2
227	297	33	2
233	297	33	2
234	297	33	1
236	297	33	2
240	297	33	1
242	297	33	1
196	298	33	3
198	298	33	1
200	298	33	2
228	298	33	1
231	298	33	2
233	298	33	1
236	298	33	2
239	298	33	2
240	298	33	1
241	298	33	1
246	298	33	1
248	298	33	1
195	299	33	1
196	299	33	2
197	299	33	3
223	299	33	1
227	299	33	1
229	299	33	1
230	299	33	1
236	299	33	1
246	299	33	1
196	300	33	1
225	300	33	1
228	300	33	1
229	300	33	1
235	300	33	2
237	300	33	1
246	300	33	1
224	301	33	1
225	301	33	1
234	301	33	1
239	301	33	2
240	301	33	1
244	301	33	2
211	302	33	1
223	302	33	1
225	302	33	1
231	302	33	1
233	302	33	2
244	302	33	1
245	302	33	1
223	303	33	2
224	303	33	2
225	303	33	1
229	303	33	2
232	303	33	1
234	303	33	1
235	303	33	1
241	303	33	1
206	304	33	1
209	304	33	1
223	304	33	2
227	304	33	1
230	304	33	1
233	304	33	1
236	304	33	1
237	304	33	2
238	304	33	1
239	304	33	1
207	305	33	1
222	305	33	1
227	305	33	1
233	305	33	2
234	305	33	2
235	305	33	3
238	305	33	1
